pc,bank/page,opcode,mnemonic,access_type,effective_address,address_class,subsystem,minimal_os_required,risk,width,bitmask,value_source,x_base/y_base,routine_label,interrupt_context,callers,engine_state_seen,notes,confidence
0x745B,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STAA L3023,W,0x3023,HC11_REG,FUEL_SCHED_TIMER,YES,HIGH,8,,A=0xFF,,L7459,mainline/unknown,0x71C0,,TFLG1 timer interrupt flags / write-one-clear | TFLG 1,high
0x7469,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STAA L3022,W,0x3022,HC11_REG,FUEL_SCHED_TIMER,YES,HIGH,8,,A=0xA0,,L7459,mainline/unknown,0x71C0,,TMSK1 timer interrupt mask | TMSK1,high
0x754D,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"STAA $23,X",W,0x3023,HC11_REG,FUEL_SCHED_TIMER,YES,HIGH,8,,A=0x01,X=0x3000,L74D3,IRQ/DRP/ref interrupt,0x740F,,TFLG1 timer interrupt flags / write-one-clear | TFLG1 | indexed_resolved,high
0x7597,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BRSET $23,X,#$01,L75F7",R,0x3023,HC11_REG,FUEL_SCHED_TIMER,YES,MEDIUM,bit,0x01,bit test 0x01,X=0x3000,L74D3,IRQ/DRP/ref interrupt,0x740F,CRANK,"TFLG1 timer interrupt flags / write-one-clear | TFLG1, INPUT CAPT, | indexed_resolved",high
0x76E1,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"STAA $23,X",W,0x3023,HC11_REG,FUEL_SCHED_TIMER,YES,HIGH,8,,A=0x01,X=0x3000,L7650,IRQ/DRP/ref interrupt,0x7532,,TFLG1 timer interrupt flags / write-one-clear | indexed_resolved,high
0x772B,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BRCLR $23,X,#$01,L774C",R,0x3023,HC11_REG,FUEL_SCHED_TIMER,YES,MEDIUM,bit,0x01,bit test 0x01,X=0x3000,L7650,IRQ/DRP/ref interrupt,0x7532,,TFLG1 timer interrupt flags / write-one-clear | indexed_resolved,high
0x7731,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"STAA $23,X",W,0x3023,HC11_REG,FUEL_SCHED_TIMER,YES,HIGH,8,,A=0x01,X=0x3000,L7650,IRQ/DRP/ref interrupt,0x7532,,TFLG1 timer interrupt flags / write-one-clear | indexed_resolved,high
0x77DD,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"STAA $23,X",W,0x3023,HC11_REG,FUEL_SCHED_TIMER,YES,HIGH,8,,A=0x08,X=0x3000,L77C7,IRQ-called fuel timer setup helper,0x7754;0x77BB,,"TFLG1 timer interrupt flags / write-one-clear | CLR FLAG, TFLG1 | indexed_resolved",high
0x77DF,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BSET $22,X,#$08",RMW,0x3022,HC11_REG,FUEL_SCHED_TIMER,YES,HIGH,bit,0x08,set 0x08,X=0x3000,L77C7,IRQ-called fuel timer setup helper,0x7754;0x77BB,,"TMSK1 timer interrupt mask | SET b3, TMSK1 TIC4/TOC5 INT ENABLE | indexed_resolved",high
0x77E9,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"CPD $1E,X",R,0x301E,HC11_REG,FUEL_SCHED_TIMER,YES,MEDIUM,16,,CPD,X=0x3000,L77C7,IRQ-called fuel timer setup helper,0x7754;0x77BB,,TOC5/TIC4 compare | TIC4/TOC5 | indexed_resolved,high
