pc,bank/page,opcode,mnemonic,access_type,effective_address,address_class,subsystem,minimal_os_required,risk,width,bitmask,value_source,x_base/y_base,routine_label,interrupt_context,callers,engine_state_seen,notes,confidence
0x73DB,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,JSR L925E,EXEC,0x925E,ROM_TABLE,IDLE_IAC,YES,MEDIUM,,,control transfer,,L7100,mainline/unknown,0xFC2C,IAC,GO SET UP IAC,high
0x91C2,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,LDAA L0007,R,0x0007,DIRECT_RAM,IDLE_IAC,YES,MEDIUM,8,,memory,,L91A3,mainline/unknown,0x7B6D,IAC|IDLE_IAC,IAC MOTOR POSIT,high
0x91CC,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,"BRCLR L0009,#$01,L91D4",R,0x0009,DIRECT_RAM,IDLE_IAC,YES,MEDIUM,bit,0x01,bit test 0x01,,L91A3,mainline/unknown,0x7B6D,IAC|IDLE_IAC,"BR IF NOT b0, IAC MOTOR Reset IN WORK",high
0x91E6,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,STAA L0007,W,0x0007,DIRECT_RAM,IDLE_IAC,YES,HIGH,8,,A,,L91A3,mainline/unknown,0x7B6D,IAC|IDLE_IAC,IAC MOTOR POSIT,high
0x925E,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,LDAA L4EF2,R,0x4EF2,ROM_TABLE,IDLE_IAC,YES,MEDIUM,8,,memory,,L925E,mainline/unknown,0x73DB,IAC|IDLE_IAC,"16% TPS UPPR LMT FOR CLSD, (IAC)",high
0x926A,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,LDAA L4EB0,R,0x4EB0,ROM_TABLE,IDLE_IAC,YES,MEDIUM,8,,memory,,L925E,mainline/unknown,0x73DB,IAC|IDLE_IAC,145 STEPS IAC PARK DOWN,high
0x926D,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,STAA L0007,W,0x0007,DIRECT_RAM,IDLE_IAC,YES,HIGH,8,,A,,L925E,mainline/unknown,0x73DB,IAC|IDLE_IAC,IAC MOTOR POSIT,high
0x927E,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,LDAA L4E8F,R,0x4E8F,ROM_TABLE,IDLE_IAC,YES,MEDIUM,8,,memory,,L925E,mainline/unknown,0x73DB,IAC|IDLE_IAC,"0000 1110, IAC MD WD #1",high
0x929C,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,LDAA L0007,R,0x0007,DIRECT_RAM,IDLE_IAC,YES,MEDIUM,8,,memory,,L925E,mainline/unknown,0x73DB,IAC|IDLE_IAC,IAC MOTOR POSIT,high
0x929E,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,STAA L0008,W,0x0008,DIRECT_RAM,IDLE_IAC,YES,HIGH,8,,A,,L925E,mainline/unknown,0x73DB,IAC|IDLE_IAC,IAC,high
0x932D,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,LDAB L4E90,R,0x4E90,ROM_TABLE,IDLE_IAC,YES,MEDIUM,8,,memory,,L92F1,mainline/unknown,0x9276,IAC|IDLE_IAC,IAC MD WD #2,high
0x9340,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,LDAA L4E8F,R,0x4E8F,ROM_TABLE,IDLE_IAC,YES,MEDIUM,8,,memory,,L92F1,mainline/unknown,0x9276,IAC|IDLE_IAC,"0000 1110, IAC MD WD #1",high
0x93B1,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,LDAB L4E90,R,0x4E90,ROM_TABLE,IDLE_IAC,YES,MEDIUM,8,,memory,,L92F1,mainline/unknown,0x9276,IAC|IDLE_IAC,IAC MD WD #2,high
0x93C5,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,"BRSET L0009,#$01,L93CF",R,0x0009,DIRECT_RAM,IDLE_IAC,YES,MEDIUM,bit,0x01,bit test 0x01,,L93C5,mainline/unknown,0x927B,IAC|IDLE_IAC,"BR IF b0, IAC MOTOR Reset IN WORK",high
0x93E1,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,"BRCLR L0009,#$01,L93F9",R,0x0009,DIRECT_RAM,IDLE_IAC,YES,MEDIUM,bit,0x01,bit test 0x01,,L93D0,mainline/unknown,0x7A39,IAC|IDLE_IAC,"BR IF NOT b0, IAC MOTOR Reset IN WORK",high
0x93E8,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,TST L0007,R,0x0007,DIRECT_RAM,IDLE_IAC,YES,MEDIUM,8,,TST,,L93D0,mainline/unknown,0x7A39,IAC|IDLE_IAC,IAC MOTOR POSIT,high
0x93F0,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,"BCLR L0009,#$01",RMW,0x0009,DIRECT_RAM,IDLE_IAC,YES,HIGH,bit,0x01,clear 0x01,,L93D0,mainline/unknown,0x7A39,IAC|IDLE_IAC,"CLR b0, IAC MOTOR Reset IN WORK",high
0x9401,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,LDAA L4EB0,R,0x4EB0,ROM_TABLE,IDLE_IAC,YES,MEDIUM,8,,memory,,L93D0,mainline/unknown,0x7A39,IAC|IDLE_IAC,145 STEPS IAC PARK DOW,high
