target_symbol,target_address,write_count,first_pc,first_routine_label,representative_instruction,write_widths,bitmasks,value_sources,x_y_bases_seen,call_contexts,nearby_branch_conditions_sample,candidate_role,confidence,reads_observed_for_target_symbol,write_sites_sample,notes
"0,X",,35,7120,L7100,STAA,16 8 bit,#$10 #$40,A:14 | D:9 | B:3 | zero:2 | BCLR mask:2 | BSET mask:2 | read_modify_write:2 | Y:1,$0009 $004C $005F $0136 $0189 $019C $0214 $026B $02A7 $02B3 $02D3 $032B $0360 $0800 $3000 $3060 $3062 $3FC0 $4F9D $508A $6A16 $BA5F $BC65 $D775 $FBD7,L7100 | L715B | L7182 | L7262 | L747E | L74F1 | L7A72 | L868B | L8E9A | L9240,711C:JSR LCC7C,unknown,low,0,7120:STAA;715B:STD;7182:CLR;7263:STAA;7486:STD;7509:BCLR;750C:BSET;7A77:STD;86A1:STAA;8E9A:STAA;9243:BSET;9C04:STD;9DCB:STD;A245:STD;A5D4:BCLR;ABA0:STD;B42F:STAA;B47F:STAA;B9D9:STAB;BA20:STAA;...+15,unresolved target; indexed/base tracking may be required
"0,Y",,8,9AE1,L9AD9,STD,16 8,,D:3 | A:2 | B:2 | X:1,$02A0 $036C $4F9D $518F $5F29 $E57C $FBD7,L9AD9 | LA193 | LA1B1 | LB629 | LE5BB | LF622 | LF9D6 | LFA16,"9AC6:BRSET L0036,#$02,L9AD9 | 9ACD:BRA L9AD9 | 9AD2:BRSET L0036,#$02,L9AD9 | 9AD9:JSR LF4C1",unknown,low,0,9AE1:STD;A198:STD;A1B6:STD;B668:STX;E5C4:STAA;F627:STAA;F9DC:STAB;FA18:STAB,unresolved target; indexed/base tracking may be required
"1,Y",,1,E5BE,LE5BB,STX,16,,X:1,$E57C,LE5BB,E597:BEQ LE59F | E59D:BNE LE5CE | E5A2:BRA LE5CE | E5A8:BEQ LE5BB,unknown,low,0,E5BE:STX,unresolved target; indexed/base tracking may be required
"15,X",,1,F346,LF33A,STAA,8,,A:1,$0009,LF33A,F307:BNE LF2FD | F309:BRA LF325 | F323:BNE LF315 | F330:BNE LF32C,unknown,low,0,F346:STAA,unresolved target; indexed/base tracking may be required
"2,X",,3,D7FF,LD7E5,STAB,16 8,,B:1 | Y:1 | D:1,$0009 $02B3 $D775,LD7E5 | LF315 | LF550,D692:BCS LD699 | D697:BRA LD69C | D7F1:BEQ LD805 | D7F5:JSR LF4C1,unknown,low,0,D7FF:STAB;F318:STY;F592:STD,unresolved target; indexed/base tracking may be required
"2,Y",,1,9BAC,L9BAC,STD,16,,D:1,$4F9D,L9BAC,"9B93:BEQ L9BB1 | 9B98:BRSET L0036,#$01,L9B9E | 9BA0:BCC L9BDA | 9BA8:BCC L9BAC",unknown,low,0,9BAC:STD,unresolved target; indexed/base tracking may be required
"3,X",,1,9C00,L9BF9,STD,16,,D:1,$4F9D,L9BF9,"9BE9:BRCLR L0036,#$01,L9BF0 | 9BF1:BCS L9BF6 | 9BF4:BRA L9BF9 | 9BFC:BRCLR L0036,#$01,L9C04",unknown,low,0,9C00:STD,unresolved target; indexed/base tracking may be required
"3,Y",,1,E5C8,LE5BB,STAA,8,,A:1,$E57C,LE5BB,E597:BEQ LE59F | E59D:BNE LE5CE | E5A2:BRA LE5CE | E5A8:BEQ LE5BB,unknown,low,0,E5C8:STAA,unresolved target; indexed/base tracking may be required
"4,X",,3,F31B,LF315,STY,16 8,,Y:1 | D:1 | B:1,$0009 $02B3,LF315 | LF550,F2FA:BNE LF2C5 | F2FF:BEQ LF30B | F307:BNE LF2FD | F309:BRA LF325,unknown,low,0,F31B:STY;F578:STD;F590:STAB,unresolved target; indexed/base tracking may be required
"4,Y",,3,9A99,L9A99,STD,16,,D:2 | X:1,$4F9D $5051 $E57C,L9A99 | L9BF9 | LE5A4,"9A6B:BRA L9A8D | 9A72:BLS L9A9F | 9A86:BRCLR L0036,#$02,L9A8D | 9A94:BCC L9A99",unknown,low,0,9A99:STD;9BF9:STD;E5B8:STX,unresolved target; indexed/base tracking may be required
