pc,routine_label,opcode,mnemonic,operand_text,write_class,target_raw,target_resolved,target_symbol,address_class,width,bitmask,x_base,y_base,index_resolution_status,value_source,nearby_branch_context,dispatcher_context,candidate_role,confidence,notes
7108,L7100,,STAA,"$3D,X",store,"$3D,X",$103D,L103D,absolute_memory_or_table,8,,$1000,,resolved_indexed,A,,,ram_state_or_intermediate,medium,requires downstream read/use analysis
710F,L7100,,STAA,"$39,X",store,"$39,X",$3039,L3039,hardware_register_region_30xx,8,,$3000,,resolved_indexed,A,,,hardware_or_asic_state,medium,mapped hardware/ASIC region
7113,L7100,,STAA,"$24,X",store,"$24,X",$3024,L3024,hardware_register_region_30xx,8,,$3000,,resolved_indexed,A,,,hardware_or_asic_state,medium,mapped hardware/ASIC region
7115,L7100,,BCLR,"$38,X,#$20",bit_mutation,"$38,X",$3038,L3038,hardware_register_region_30xx,bit,#$20,$3000,,resolved_indexed,bit_clear_mask,,,hardware_or_asic_state,medium,mapped hardware/ASIC region
711A,L7100,,STAA,"$35,X",store,"$35,X",$3035,L3035,hardware_register_region_30xx,8,,$3000,,resolved_indexed,A,,,hardware_or_asic_state,medium,mapped hardware/ASIC region
7120,L7100,,STAA,"0,X",store,"0,X",,"0,X",unknown,8,,$3000,,unresolved_indexed,A,711C:JSR LCC7C,,ram_state_or_intermediate,medium,requires downstream read/use analysis
7122,L7100,,STAA,"$08,X",store,"$08,X",$3008,L3008,hardware_register_region_30xx,8,,$3000,,resolved_indexed,A,711C:JSR LCC7C,,hardware_or_asic_state,medium,mapped hardware/ASIC region
7128,L7100,,STD,L306E,store,L306E,$306E,L306E,hardware_register_region_30xx,16,,,,direct,D,711C:JSR LCC7C,,hardware_or_asic_state,medium,mapped hardware/ASIC region
713A,L713A,,STX,L3FFC,store,L3FFC,$3FFC,L3FFC,asic_hardware_region_3fxx,16,,,,direct,X,"711C:JSR LCC7C | 7132:BRCLR 0,Y,#$01,L713A",,iac_output_sink_or_state,medium,IAC phase/output/enable candidate; direct writer bench-gated
714A,L713A,,STD,L3FFC,store,L3FFC,$3FFC,L3FFC,asic_hardware_region_3fxx,16,,,,direct,D,"711C:JSR LCC7C | 7132:BRCLR 0,Y,#$01,L713A | 713D:JSR LF3ED | 7143:JSR LF3ED",,iac_output_sink_or_state,medium,IAC phase/output/enable candidate; direct writer bench-gated
7154,L713A,,STAB,"$2D,X",store,"$2D,X",$302D,L302D,hardware_register_region_30xx,8,,$3000,$400B,resolved_indexed,B,"711C:JSR LCC7C | 7132:BRCLR 0,Y,#$01,L713A | 713D:JSR LF3ED | 7143:JSR LF3ED",,hardware_or_asic_state,medium,mapped hardware/ASIC region
715B,L715B,,STD,"0,X",store,"0,X",,"0,X",unknown,16,,$3FC0,$400B,unresolved_indexed,D,"711C:JSR LCC7C | 7132:BRCLR 0,Y,#$01,L713A | 713D:JSR LF3ED | 7143:JSR LF3ED",,ram_state_or_intermediate,medium,requires downstream read/use analysis
7182,L7182,,CLR,"0,X",clear,"0,X",,"0,X",unknown,8,,$0360,$400B,unresolved_indexed,zero,713D:JSR LF3ED | 7143:JSR LF3ED | 7162:BNE L715B | 716A:JSR LF2FD | 7173:JSR LF2FD | 717C:JSR LF2FD,,ram_state_or_intermediate,medium,requires downstream read/use analysis
719E,L7182,,BSET,"L0050,#$08",bit_mutation,L0050,$0050,L0050,internal_ram,bit,#$08,,,direct,bit_set_mask,7188:BNE L7182 | 718A:JSR LF20D | 718D:JSR LF245 | 7190:JSR LC56F | 7198:BCC L71C3 | 719C:BCS L71C3,,mode_flag_or_safety_gate,medium,bit-level state mutation
71B4,L7182,,BSET,"L0044,#$01",bit_mutation,L0044,$0044,L0044,internal_ram,bit,#$01,,,direct,bit_set_mask,7190:JSR LC56F | 7198:BCC L71C3 | 719C:BCS L71C3 | 71A5:BCS L71C3 | 71AC:BCS L71C3 | 71B2:BHI L71C3,,mode_flag_or_safety_gate,medium,bit-level state mutation
71B7,L7182,,CLR,L0001,clear,L0001,$0001,L0001,internal_ram,8,,,,direct,zero,7190:JSR LC56F | 7198:BCC L71C3 | 719C:BCS L71C3 | 71A5:BCS L71C3 | 71AC:BCS L71C3 | 71B2:BHI L71C3,,ram_state_or_intermediate,medium,requires downstream read/use analysis
71BD,L7182,,STX,L3FFC,store,L3FFC,$3FFC,L3FFC,asic_hardware_region_3fxx,16,,,,direct,X,7190:JSR LC56F | 7198:BCC L71C3 | 719C:BCS L71C3 | 71A5:BCS L71C3 | 71AC:BCS L71C3 | 71B2:BHI L71C3,,iac_output_sink_or_state,medium,IAC phase/output/enable candidate; direct writer bench-gated
71C3,L71C3,,BCLR,"L0005,#$10",bit_mutation,L0005,$0005,L0005,internal_ram,bit,#$10,,,direct,bit_clear_mask,7198:BCC L71C3 | 719C:BCS L71C3 | 71A5:BCS L71C3 | 71AC:BCS L71C3 | 71B2:BHI L71C3 | 71C0:JMP L7459,,mode_flag_or_safety_gate,medium,bit-level state mutation
