pc,bank/page,opcode,mnemonic,access_type,effective_address,address_class,subsystem,minimal_os_required,risk,width,bitmask,value_source,x_base/y_base,routine_label,interrupt_context,callers,engine_state_seen,notes,confidence
0x741F,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,LDD L3FCA,R,0x3FCA,ASIC_3FXX,ASIC_STATUS_REF,YES,MEDIUM,16,,memory,,L7100,mainline/unknown,0xFC2C,,ASIC 16-bit RPM/event counter,high
0x7765,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,LDD L3FFA,R,0x3FFA,ASIC_3FXX,ASIC_STATUS_REF,YES,MEDIUM,16,,memory,,L7765,IRQ/DRP/ref interrupt,0x76D9,,ASIC packed hardware status,high
0x7BF6,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,LDD L3FFA,R,0x3FFA,ASIC_3FXX,ASIC_STATUS_REF,YES,MEDIUM,16,,memory,,L7BA7,mainline/unknown,0x79F2,,ASIC packed hardware status,high
0x7C00,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,LDD L3FC4,R,0x3FC4,ASIC_3FXX,ASIC_STATUS_REF,YES,MEDIUM,16,,memory,,L7BA7,mainline/unknown,0x79F2,,ASIC period/status latch candidate,high
0x842C,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,LDD L3FC0,R,0x3FC0,ASIC_3FXX,ASIC_STATUS_REF,YES,MEDIUM,16,,memory,,L82ED,mainline/unknown,0x8238,FUEL_CALC,ASIC last DRP/ref period counter,high
0x858B,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,LDX L3FC0,R,0x3FC0,ASIC_3FXX,ASIC_STATUS_REF,YES,MEDIUM,16,,memory,,L858B,mainline/unknown,0x85CA,,ASIC last DRP/ref period counter | LAST REF PERIOD CNT'R,high
0x8629,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,LDX L3FCA,R,0x3FCA,ASIC_3FXX,ASIC_STATUS_REF,YES,MEDIUM,16,,memory,,L85B2,mainline/unknown,0x7E66,,ASIC 16-bit RPM/event counter | 16 BIT RPM COUNTER,high
0xA551,BMHM_$31_main_window_ORG_0x9C96,source_listing_no_bytes,LDD L3FC0,R,0x3FC0,ASIC_3FXX,ASIC_STATUS_REF,YES,MEDIUM,16,,memory,,LA466,mainline/unknown,0x79FC,SPARK_CALC,ASIC last DRP/ref period counter,high
0xA581,BMHM_$31_main_window_ORG_0x9C96,source_listing_no_bytes,LDD L3FC0,R,0x3FC0,ASIC_3FXX,ASIC_STATUS_REF,YES,MEDIUM,16,,memory,,LA581,mainline/unknown,0xA518;0xA54E,SPARK_CALC,ASIC last DRP/ref period counter | RPM = ((65536 * 120)/8)/CAL,high
0xA5E5,BMHM_$31_main_window_ORG_0x9C96,source_listing_no_bytes,LDD L3FC0,R,0x3FC0,ASIC_3FXX,ASIC_STATUS_REF,YES,MEDIUM,16,,memory,,LA59B,mainline/unknown,0xA53D,SPARK_CALC,ASIC last DRP/ref period counter | LAST DRP PERIOD CNTR,high
