pc,bank/page,opcode,mnemonic,access_type,effective_address,address_class,subsystem,minimal_os_required,risk,width,bitmask,value_source,x_base/y_base,routine_label,interrupt_context,callers,engine_state_seen,notes,confidence
0x710F,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"STAA $39,X",W,0x3039,HC11_REG,BOOT_WATCHDOG_CPU,YES,HIGH,8,,A=0xB8,X=0x3000,L7100,mainline/unknown,0xFC2C,,OPTION | OPTION REG | indexed_resolved,high
0x7113,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"STAA $24,X",W,0x3024,HC11_REG,BOOT_WATCHDOG_CPU,YES,HIGH,8,,A=0x03,X=0x3000,L7100,mainline/unknown,0xFC2C,,TMSK2 timer prescale/RTI mask | TMSK2 | indexed_resolved,high
0x7115,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BCLR $38,X,#$20",RMW,0x3038,HC11_REG,BOOT_WATCHDOG_CPU,YES,HIGH,bit,0x20,clear 0x20,X=0x3000,L7100,mainline/unknown,0xFC2C,,"OPT2 | CLR b5, OPT2, 4X CLK OUT | indexed_resolved",high
0x7120,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"STAA 0,X",W,0x3000,HC11_REG,BOOT_WATCHDOG_CPU,YES,HIGH,8,,A=0x00,X=0x3000,L7100,mainline/unknown,0xFC2C,,PORTA / timer pin status | indexed_resolved,high
0x71C6,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,LDAA L303F,R,0x303F,HC11_REG,BOOT_WATCHDOG_CPU,YES,MEDIUM,8,,memory,,L7100,mainline/unknown,0xFC2C,,CONFIG/EPROM config candidate,high
0x7443,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STAA L303A,W,0x303A,HC11_REG,BOOT_WATCHDOG_CPU,YES,HIGH,8,,A=0x55,,L7100,mainline/unknown,0xFC2C,,COPRST watchdog clear | ARM COP TIMER CLEARING MECHANISM,high
0x7448,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STAA L303A,W,0x303A,HC11_REG,BOOT_WATCHDOG_CPU,YES,HIGH,8,,A=0xAA,,L7100,mainline/unknown,0xFC2C,,COPRST watchdog clear | CLEAR COP,high
0x77E2,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BRCLR 0,X,#$08,L77EE",R,0x3000,HC11_REG,BOOT_WATCHDOG_CPU,YES,MEDIUM,bit,0x08,bit test 0x08,X=0x3000,L77C7,IRQ-called fuel timer setup helper,0x7754;0x77BB,,PORTA / timer pin status | indexed_resolved,high
0x7812,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BRCLR 0,X,#$10,L781E",R,0x3000,HC11_REG,BOOT_WATCHDOG_CPU,YES,MEDIUM,bit,0x10,bit test 0x10,X=0x3000,L77F7,IRQ-called fuel timer setup helper,0x773B;0x77BE,,PORTA / timer pin status | BR IF NOT b4 | indexed_resolved,high
0x787C,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BRCLR 0,X,#$08,L78C5",R,0x3000,HC11_REG,BOOT_WATCHDOG_CPU,YES,MEDIUM,bit,0x08,bit test 0x08,X=0x3000,L785A,TOC5/TIC4 interrupt,0x75D1;0x774C,,"PORTA / timer pin status | BR IF NOT b3, (NO INTERUPT) | indexed_resolved",high
0x78E0,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BRCLR 0,X,#$10,L7929",R,0x3000,HC11_REG,BOOT_WATCHDOG_CPU,YES,MEDIUM,bit,0x10,bit test 0x10,X=0x3000,L785A,TOC4 interrupt,0x75D1;0x774C,,"PORTA / timer pin status | BR IF NOT b4, TOC3 | indexed_resolved",high
0x79EA,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STAA L303A,W,0x303A,HC11_REG,BOOT_WATCHDOG_CPU,YES,HIGH,8,,A=0xAA,,L7989,TOC3/6.25ms major-loop interrupt,0x7A81,,COPRST watchdog clear,high
0x79ED,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STAB L303A,W,0x303A,HC11_REG,BOOT_WATCHDOG_CPU,YES,HIGH,8,,B=0x55,,L7989,TOC3/6.25ms major-loop interrupt,0x7A81,,COPRST watchdog clear,high
0x7D89,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,STAB L3039,W,0x3039,HC11_REG,BOOT_WATCHDOG_CPU,YES,HIGH,8,,B=0x08,,L7D4B,mainline/unknown,0x7A19,,OPTION,high
0x7DB3,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,STAA L303A,W,0x303A,HC11_REG,BOOT_WATCHDOG_CPU,YES,HIGH,8,,A=0x55,,L7D4B,mainline/unknown,0x7A19,,COPRST watchdog clear | COP1,high
0x9169,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,STAB L303A,W,0x303A,HC11_REG,BOOT_WATCHDOG_CPU,YES,HIGH,8,,B=0xAA,,L9167,mainline/unknown,0x79F9,IDLE_IAC,COPRST watchdog clear,high
0xAEA7,BMHM_$31_main_window_ORG_0x9C96,source_listing_no_bytes,LDAA L3000,R,0x3000,HC11_REG,BOOT_WATCHDOG_CPU,YES,MEDIUM,8,,memory,,LAEA4,mainline/unknown,0xAE85,,PORTA / timer pin status,high
0xF2EF,BMHM_$31_main_window_ORG_0xE717,source_listing_no_bytes,STAA L303A,W,0x303A,HC11_REG,BOOT_WATCHDOG_CPU,YES,HIGH,8,,A=0x55,,LF2AA,mainline/unknown,0x71D5,,COPRST watchdog clear,high
0xF2F3,BMHM_$31_main_window_ORG_0xE717,source_listing_no_bytes,STAA L303A,W,0x303A,HC11_REG,BOOT_WATCHDOG_CPU,YES,HIGH,8,,A,,LF2AA,mainline/unknown,0x71D5,,COPRST watchdog clear,high
0xFA87,BMHM_$31_main_window_ORG_0xF161,source_listing_no_bytes,STAA L303A,W,0x303A,HC11_REG,BOOT_WATCHDOG_CPU,YES,HIGH,8,,A=0xAA,,LFA5B,mainline/unknown,0x7955,,COPRST watchdog clear | COP 1,high
0xFA8A,BMHM_$31_main_window_ORG_0xF161,source_listing_no_bytes,STAB L303A,W,0x303A,HC11_REG,BOOT_WATCHDOG_CPU,YES,HIGH,8,,B=0x55,,LFA5B,mainline/unknown,0x7955,,COPRST watchdog clear,high
0xFC3C,BMHM_$31_main_window_ORG_0xFBD7,source_listing_no_bytes,STAA L3024,W,0x3024,HC11_REG,BOOT_WATCHDOG_CPU,YES,HIGH,8,,A=0x03,,LFC2F,TIC/RTI vector handler,,,TMSK2 timer prescale/RTI mask | TMSK2,high
