pc,bank/page,opcode,mnemonic,access_type,effective_address,address_class,subsystem,minimal_os_required,risk,width,bitmask,value_source,x_base/y_base,routine_label,interrupt_context,callers,engine_state_seen,notes,confidence
0x74DF,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STD L3FEA,W,0x3FEA,ASIC_3FXX,FUEL_MATH_HANDOFF,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,D=0xDFFF,,L74D3,mainline/unknown,0x740F,,ASIC fuel/scheduler command candidate B,high
0x752E,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BRCLR L004F,#$10,L7535",R,0x004F,DIRECT_RAM,FUEL_MATH_HANDOFF,NO_UNLESS_DEPENDENCY_PROVES,LOW,bit,0x10,bit test 0x10,,L74D3,IRQ/DRP/ref interrupt,0x740F,RUN,"BR IF NOT b4, RUN FUEL",high
0x7562,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BRCLR 0,X,#$04,L7579",R,0x400C,ROM_TABLE,FUEL_MATH_HANDOFF,NO_UNLESS_DEPENDENCY_PROVES,LOW,bit,0x04,bit test 0x04,X=0x400C,L74D3,IRQ/DRP/ref interrupt,0x740F,CRANK,"BR IF NOT b2, CRANK FUEL ALL INJ'S EACH DRP | indexed_resolved",high
0x7566,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,LDD L02CF,R,0x02CF,DIRECT_RAM,FUEL_MATH_HANDOFF,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,memory,,L74D3,IRQ/DRP/ref interrupt,0x740F,CRANK,BPW,high
0x756C,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STD L024C,W,0x024C,DIRECT_RAM,FUEL_MATH_HANDOFF,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,D,,L74D3,IRQ/DRP/ref interrupt,0x740F,CRANK,SYNC BPW,high
0x7581,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STD L024C,W,0x024C,DIRECT_RAM,FUEL_MATH_HANDOFF,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,D,,L74D3,IRQ/DRP/ref interrupt,0x740F,CRANK,SYNC BPW,high
0x7587,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,ADDB L0256,R,0x0256,DIRECT_RAM,FUEL_MATH_HANDOFF,NO_UNLESS_DEPENDENCY_PROVES,LOW,8,,ADDB,,L74D3,IRQ/DRP/ref interrupt,0x740F,CRANK,BPW BIAS (Msec),high
0x7591,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STD L0250,W,0x0250,DIRECT_RAM,FUEL_MATH_HANDOFF,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,D=0x7FFF,,L74D3,IRQ/DRP/ref interrupt,0x740F,CRANK,BPW,high
0x75A2,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BSET L0053,#$20",RMW,0x0053,DIRECT_RAM,FUEL_MATH_HANDOFF,NO_UNLESS_DEPENDENCY_PROVES,LOW,bit,0x20,set 0x20,,L74D3,IRQ/DRP/ref interrupt,0x740F,CRANK,"SET b5, (A) INJECTORS FIRED AT 1st DRP",high
0x75A7,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BRCLR L0053,#$20,L75CB",R,0x0053,DIRECT_RAM,FUEL_MATH_HANDOFF,NO_UNLESS_DEPENDENCY_PROVES,LOW,bit,0x20,bit test 0x20,,L74D3,IRQ/DRP/ref interrupt,0x740F,CRANK,"BR IF NOT b5, (A) INJECTORS FIRED AT 1st DRP",high
0x75AF,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,LDAA L4960,R,0x4960,ROM_TABLE,FUEL_MATH_HANDOFF,NO_UNLESS_DEPENDENCY_PROVES,LOW,8,,memory,,L74D3,IRQ/DRP/ref interrupt,0x740F,CRANK,"0 MULT, CRANK BPW FOR 2ND INJ ON",high
0x75BC,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STD L0250,W,0x0250,DIRECT_RAM,FUEL_MATH_HANDOFF,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,D=0xFFFF,,L74D3,IRQ/DRP/ref interrupt,0x740F,CRANK,SAVE BPW,high
0x75D4,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,LDD L0250,R,0x0250,DIRECT_RAM,FUEL_MATH_HANDOFF,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,memory,,L74D3,IRQ/DRP/ref interrupt,0x740F,CRANK,BPW,high
0x7604,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BCLR L0053,#$20",RMW,0x0053,DIRECT_RAM,FUEL_MATH_HANDOFF,NO_UNLESS_DEPENDENCY_PROVES,LOW,bit,0x20,clear 0x20,,L74D3,IRQ/DRP/ref interrupt,0x740F,CRANK,"CLR b5,(A) INJECTORS FIRED AT 1st DRP",high
0x7607,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,LDD L0250,R,0x0250,DIRECT_RAM,FUEL_MATH_HANDOFF,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,memory,,L74D3,IRQ/DRP/ref interrupt,0x740F,CRANK,BPW,high
0x7612,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STD L0827,W,0x0827,EXT_RAM,FUEL_MATH_HANDOFF,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,D,,L74D3,IRQ/DRP/ref interrupt,0x740F,CRANK,SAVE CURRENT TIMER FOR BPW,high
0x762A,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,LDD L024C,R,0x024C,DIRECT_RAM,FUEL_MATH_HANDOFF,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,memory,,L762A,IRQ/DRP/ref interrupt,0x7576;0x7584,CRANK,SYNC BPW,high
0x76B5,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STD L0254,W,0x0254,DIRECT_RAM,FUEL_MATH_HANDOFF,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,D=0xFFFF,,L7650,IRQ/DRP/ref interrupt,0x7532,,ASYNC BPW,high
0x76C4,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,LDD L0254,R,0x0254,DIRECT_RAM,FUEL_MATH_HANDOFF,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,memory,,L7650,IRQ/DRP/ref interrupt,0x7532,,ASYNC BPW,high
0x76C7,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,CPD L492A,R,0x492A,ROM_TABLE,FUEL_MATH_HANDOFF,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,CPD,,L7650,IRQ/DRP/ref interrupt,0x7532,,ASYNC to SYNC IF BPW G.T. 500 usec,high
0x76E3,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,LDD L0254,R,0x0254,DIRECT_RAM,FUEL_MATH_HANDOFF,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,memory,,L7650,IRQ/DRP/ref interrupt,0x7532,,ASYNC BPW,high
0x76E6,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,CPD L492A,R,0x492A,ROM_TABLE,FUEL_MATH_HANDOFF,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,CPD,,L7650,IRQ/DRP/ref interrupt,0x7532,,ASYNC to SYNC IF BPW G.T. 500 usec,high
0x7702,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,LDD L0254,R,0x0254,DIRECT_RAM,FUEL_MATH_HANDOFF,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,memory,,L7650,IRQ/DRP/ref interrupt,0x7532,,ASYNC BPW,high
0x7705,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,ADDB L0256,R,0x0256,DIRECT_RAM,FUEL_MATH_HANDOFF,NO_UNLESS_DEPENDENCY_PROVES,LOW,8,,ADDB,,L7650,IRQ/DRP/ref interrupt,0x7532,,BPW BIAS (Msec),high
0x770F,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STD L0250,W,0x0250,DIRECT_RAM,FUEL_MATH_HANDOFF,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,D=0x32767,,L7650,IRQ/DRP/ref interrupt,0x7532,,BPW,high
