pc,bank/page,opcode,mnemonic,access_type,effective_address,address_class,subsystem,minimal_os_required,risk,width,bitmask,value_source,x_base/y_base,routine_label,interrupt_context,callers,engine_state_seen,notes,confidence
0x711A,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"STAA $35,X",W,0x3035,HC11_REG,HC11_CORE,NO_UNLESS_DEPENDENCY_PROVES,LOW,8,,A=0x1B,X=0x3000,L7100,mainline/unknown,0xFC2C,,BPROT EEPROM block protect | BPROT | indexed_resolved,high
0x7425,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,LDD L3012,R,0x3012,HC11_REG,HC11_CORE,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,memory,,L7100,mainline/unknown,0xFC2C,,TIC2 | GET TIC 2 VALUE,high
0x745E,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,LDD L300E,R,0x300E,HC11_REG,HC11_CORE,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,memory,,L7459,mainline/unknown,0x71C0,RUN,TCNT 16-bit free-running counter | 16 BIT FREE RUN CNT'R,high
0x7464,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STD L301A,W,0x301A,HC11_REG,HC11_CORE,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,D,,L7459,mainline/unknown,0x71C0,,TOC3 | TOC3,high
0x74F1,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,LDD L300E,R,0x300E,HC11_REG,HC11_CORE,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,memory,,L74D3,IRQ/DRP/ref interrupt,0x740F,RUN,TCNT 16-bit free-running counter | 16 BIT FREE RUN CNT'R,high
0x77D6,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"ADDD $0E,X",R,0x300E,HC11_REG,HC11_CORE,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,ADDD,X=0x3000,L77C7,IRQ-called fuel timer setup helper,0x7754;0x77BB,RUN,TCNT 16-bit free-running counter | 16 BIT FREE RUN CNT'R | indexed_resolved,high
0x7806,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"ADDD $0E,X",R,0x300E,HC11_REG,HC11_CORE,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,ADDD,X=0x3000,L77F7,IRQ-called fuel timer setup helper,0x773B;0x77BE,RUN,TCNT 16-bit free-running counter | 16 BIT FREE RUN CNT'R | indexed_resolved,high
0x78B5,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"LDD $0E,X",R,0x300E,HC11_REG,HC11_CORE,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,memory,X=0x3000,L785A,TOC5/TIC4 interrupt,0x75D1;0x774C,RUN,TCNT 16-bit free-running counter | 16 BIT FREE RUN CNT'R | indexed_resolved,high
0x78C8,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"LDD $0E,X",R,0x300E,HC11_REG,HC11_CORE,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,memory,X=0x3000,L785A,TOC5/TIC4 interrupt,0x75D1;0x774C,RUN,TCNT 16-bit free-running counter | 16 BIT FREE RUN CNT'R | indexed_resolved,high
0x7919,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"LDD $0E,X",R,0x300E,HC11_REG,HC11_CORE,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,memory,X=0x3000,L785A,TOC4 interrupt,0x75D1;0x774C,,"TCNT 16-bit free-running counter | TCNT, 16 BIT TIMER | indexed_resolved",high
0x792C,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"LDD $0E,X",R,0x300E,HC11_REG,HC11_CORE,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,memory,X=0x3000,L785A,TOC4 interrupt,0x75D1;0x774C,,"TCNT 16-bit free-running counter | TCNT, 16 BIT TIMER | indexed_resolved",high
