pc,bank/page,opcode,mnemonic,access_type,effective_address,address_class,subsystem,minimal_os_required,risk,width,bitmask,value_source,x_base/y_base,routine_label,interrupt_context,callers,engine_state_seen,notes,confidence
0x7128,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STD L306E,W,0x306E,UNKNOWN_HW,IO_LATCH_OUTPUT,YES,HIGH,16,,D,,L7100,mainline/unknown,0xFC2C,,External 306x I/O latch candidate,high
0x713A,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STX L3FFC,W,0x3FFC,ASIC_3FXX,IO_LATCH_OUTPUT,YES,HIGH,16,,X,,L7100,mainline/unknown,0xFC2C,,ASIC I/O D port / external output latch | I/O D PORT ..,high
0x7140,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,LDD L3FFC,R,0x3FFC,ASIC_3FXX,IO_LATCH_OUTPUT,YES,MEDIUM,16,,memory,,L7100,mainline/unknown,0xFC2C,,ASIC I/O D port / external output latch | I/O D PORT ..,high
0x714A,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STD L3FFC,W,0x3FFC,ASIC_3FXX,IO_LATCH_OUTPUT,YES,HIGH,16,,D,,L7100,mainline/unknown,0xFC2C,,ASIC I/O D port / external output latch | I/O D PORT ..,high
0x71BD,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STX L3FFC,W,0x3FFC,ASIC_3FXX,IO_LATCH_OUTPUT,YES,HIGH,16,,X,,L7100,mainline/unknown,0xFC2C,,ASIC I/O D port / external output latch | I/O D PORT ..,high
0x71EF,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,LDD L3FFC,R,0x3FFC,ASIC_3FXX,IO_LATCH_OUTPUT,YES,MEDIUM,16,,memory,,L7100,mainline/unknown,0xFC2C,,ASIC I/O D port / external output latch | I/O D PORT ..,high
0x71F7,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STD L3FFC,W,0x3FFC,ASIC_3FXX,IO_LATCH_OUTPUT,YES,HIGH,16,,D,,L7100,mainline/unknown,0xFC2C,,ASIC I/O D port / external output latch | I/O D PORT ..,high
0x7518,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STAB L306F,W,0x306F,UNKNOWN_HW,IO_LATCH_OUTPUT,YES,HIGH,8,,B=0xFF,,L74D3,IRQ/DRP/ref interrupt,0x740F,,External 306x I/O latch/status candidate,high
0x7BA3,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,STD L3068,W,0x3068,UNKNOWN_HW,IO_LATCH_OUTPUT,YES,HIGH,16,,D,,L7B6D,mainline/unknown,0x797A,,External 306x output command candidate,high
0x8577,BMHM_$31_main_window_ORG_0x7A85,source_listing_no_bytes,LDD L3FFC,R,0x3FFC,ASIC_3FXX,IO_LATCH_OUTPUT,YES,MEDIUM,16,,memory,,L8548,mainline/unknown,0x762D;0x84AA,,ASIC I/O D port / external output latch | I/O D PORT ..,high
