pc,bank/page,opcode,mnemonic,access_type,effective_address,address_class,subsystem,minimal_os_required,risk,width,bitmask,value_source,x_base/y_base,routine_label,interrupt_context,callers,engine_state_seen,notes,confidence
0x7122,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"STAA $08,X",W,0x3008,HC11_REG,SENSOR_ADC,YES,HIGH,8,,A=0x00,X=0x3000,L7100,mainline/unknown,0xFC2C,,PORTE / ADC input port | indexed_resolved,high
0x7190,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,JSR LC56F,EXEC,0xC56F,ROM_TABLE,SENSOR_ADC,YES,MEDIUM,,,control transfer,,L7100,mainline/unknown,0xFC2C,,A/D READ BATTERY VOLTAGE,high
0x7193,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,LDAA L082F,R,0x082F,EXT_RAM,SENSOR_ADC,YES,MEDIUM,8,,memory,,L7100,mainline/unknown,0xFC2C,,A/D VAL,high
0x719E,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BSET L0050,#$08",RMW,0x0050,DIRECT_RAM,SENSOR_ADC,YES,HIGH,bit,0x08,set 0x08,,L7100,mainline/unknown,0xFC2C,,"SET b3, IF A/D 0.56 VDC - 1.20 VDC",high
0x71A1,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,LDAA L00A6,R,0x00A6,DIRECT_RAM,SENSOR_ADC,YES,MEDIUM,8,,memory,,L7100,mainline/unknown,0xFC2C,,TPS A/D,high
0x722E,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,LDAA L5B24,R,0x5B24,ROM_TABLE,SENSOR_ADC,YES,MEDIUM,8,,memory,,L7100,mainline/unknown,0xFC2C,IDLE,"64d, TPS MIN BIN VAL, (IDLE)",high
0x7233,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STD L02F6,W,0x02F6,DIRECT_RAM,SENSOR_ADC,YES,HIGH,16,,D,,L7100,mainline/unknown,0xFC2C,,FILT TPS (XMISH),high
0x7393,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,LDAA L082E,R,0x082E,EXT_RAM,SENSOR_ADC,YES,MEDIUM,8,,memory,,L7100,mainline/unknown,0xFC2C,,MAP A/D,high
0x7399,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STAA L01C3,W,0x01C3,DIRECT_RAM,SENSOR_ADC,YES,HIGH,8,,A,,L7100,mainline/unknown,0xFC2C,,FILT TRANS MAP,high
0x73AA,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STAA L01C0,W,0x01C0,DIRECT_RAM,SENSOR_ADC,YES,HIGH,8,,A=0xFF,,L7100,mainline/unknown,0xFC2C,,CURRENT MAP VALUE,high
0x73BC,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,LDAA L0006,R,0x0006,DIRECT_RAM,SENSOR_ADC,YES,MEDIUM,8,,memory,,L7100,mainline/unknown,0xFC2C,,COOL VALUE,high
0x73BF,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,JSR LC96A,EXEC,0xC96A,ROM_TABLE,SENSOR_ADC,YES,MEDIUM,,,control transfer,,L7100,mainline/unknown,0xFC2C,,DO COOL SUBROUTINE,high
0x73C8,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,LDAA L0006,R,0x0006,DIRECT_RAM,SENSOR_ADC,YES,MEDIUM,8,,memory,,L7100,mainline/unknown,0xFC2C,,COOL VALUE,high
0x73CA,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STAA L0282,W,0x0282,DIRECT_RAM,SENSOR_ADC,YES,HIGH,8,,A,,L7100,mainline/unknown,0xFC2C,,START UP COOL,high
0x73E1,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STAA L01D5,W,0x01D5,DIRECT_RAM,SENSOR_ADC,YES,HIGH,8,,A,,L7100,mainline/unknown,0xFC2C,,o2 VOLTS * 226 (A/D RESULT),high
